subj,session,trial,rt,object_response,category,condition,imagename
subject-06,1,1,1.1274049282074,bicycle,bicycle,324,0001_tfr_s06_324_bicycle_00_bicycle10-oven1.png
subject-06,1,2,0.759381055831909,clock,truck,72,0002_tfr_s06_72_truck_00_truck3-clock1.png
subject-06,1,3,0.661257982254028,clock,clock,0,0003_tfr_s06_0_clock_00_clock5-oven2.png
subject-06,1,4,0.863948822021484,cat,cat,252,0004_tfr_s06_252_cat_00_cat2-bicycle1.png
subject-06,1,5,0.886870861053467,elephant,elephant,216,0005_tfr_s06_216_elephant_00_elephant5-bird3.png
subject-06,1,6,0.994919061660767,truck,truck,0,0006_tfr_s06_0_truck_00_truck4-truck3.png
subject-06,1,7,1.02918386459351,truck,truck,108,0007_tfr_s06_108_truck_00_truck5-bear3.png
subject-06,1,8,0.967118978500366,oven,clock,72,0008_tfr_s06_72_clock_00_clock1-chair2.png
subject-06,1,9,0.961558103561401,elephant,truck,72,0009_tfr_s06_72_truck_00_truck9-elephant1.png
subject-06,1,10,0.909339189529419,cat,truck,0,0010_tfr_s06_0_truck_00_truck8-dog1.png
subject-06,1,11,1.2117600440979,oven,keyboard,180,0011_tfr_s06_180_keyboard_00_keyboard4-dog1.png
subject-06,1,12,1.23000597953796,boat,boat,180,0012_tfr_s06_180_boat_00_boat7-cat3.png
subject-06,1,13,0.854735851287842,elephant,elephant,36,0013_tfr_s06_36_elephant_00_elephant7-truck3.png
subject-06,1,14,1.40288519859314,bird,bird,252,0014_tfr_s06_252_bird_00_bird6-bird3.png
subject-06,1,15,0.935492992401123,car,car,180,0015_tfr_s06_180_car_00_car5-oven3.png
subject-06,1,16,0.967203140258789,knife,knife,324,0016_tfr_s06_324_knife_00_knife10-dog3.png
subject-06,1,17,0.875410079956055,clock,clock,252,0017_tfr_s06_252_clock_00_clock7-airplane3.png
subject-06,1,18,0.74462103843689,airplane,airplane,36,0018_tfr_s06_36_airplane_00_airplane3-boat2.png
